Config,Feature,Best_Params,R2,MAE,RMSE,MPE
Spectral Only,p1.pH.index,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09123040750285627,10.779706083606087,13.71844308119764,-inf
Spectral Only,p1.EC.ds_m,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.08512826587217182,10.775864342438853,13.764423837758708,-inf
Spectral Only,p1.Clay.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09165652290807591,10.772312240948677,13.715226465354675,-inf
Spectral Only,p1.Sand.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.08953097741098859,10.769031984065071,13.731264067991837,-inf
Spectral Only,p1.Silt.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09002292371774456,10.781080530307225,13.727553915752235,-inf
Spectral Only,p2.N.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09211210901215705,10.780207298932908,13.711786549487627,-inf
Spectral Only,p2.Zn.mg_kg,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.08628040318304764,10.770450704343673,13.755754041958136,-inf
Spectral Only,p2.OC.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09205773398975359,10.79246023895871,13.712197154995778,-inf
Spectral Only,p3.Fe.mg_kg,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09030884984073229,10.758467444855018,13.72539706216429,-inf
Spectral Only,p3.K.mg_kg,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.08956646890785391,10.773147384123224,13.730996432381522,-inf
Spectral Only,p3.P.mg_kg,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09012407540066425,10.775173492163884,13.72679092742704,-inf
Spectral Only,p3.S.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09145421277254295,10.763972007562977,13.716753737203023,-inf
Spectral Only,p4.BD.g_cm3,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09221138603938717,10.773336673221237,13.711036840941233,-inf
Spectral Only,p4.CEC.cmolc_kg,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.08570020772695486,10.783035801239924,13.760120676682995,-inf
Spectral Only,p4.CF.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09102932061179836,10.770211682898974,13.719960763186338,-inf
Spectral Only,p4.WR_10kPa.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09242142199024805,10.772801514574475,13.709450581094327,-inf
Spectral Only,p4.WR_1500kPa.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09276537946964802,10.769780546848825,13.706852505822306,-inf
Spectral Only,p4.WR_33kPa.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09874171226942197,10.767450492705718,13.661631533530711,-inf
Spectral + pH,p1.pH.index,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.0851217267255513,10.792387590016881,13.764473029039534,-inf
Spectral + pH,p1.EC.ds_m,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.08839214324441658,10.784731928679745,13.739849063948496,-inf
Spectral + pH,p1.Clay.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09151306783135771,10.78995145567783,13.716309448409968,-inf
Spectral + pH,p1.Sand.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09348569114252747,10.766226287056277,13.701410051270912,-inf
Spectral + pH,p1.Silt.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09260787135796944,10.780353125435367,13.708042301002774,-inf
Spectral + pH,p2.N.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.0940189180332377,10.789926829207479,13.697379759141644,-inf
Spectral + pH,p2.Zn.mg_kg,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09312868325714119,10.776057230721323,13.70410776374854,-inf
Spectral + pH,p2.OC.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09298293188078521,10.759495402674943,13.705208974186657,-inf
Spectral + pH,p3.Fe.mg_kg,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09104003459797683,10.781619599466165,13.719879904745863,-inf
Spectral + pH,p3.K.mg_kg,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09158231899914848,10.767417933321802,13.715786662382143,-inf
Spectral + pH,p3.P.mg_kg,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09546067881614784,10.784845329546432,13.68647654692231,-inf
Spectral + pH,p3.S.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.08814506598066507,10.775615380356706,13.741710924994196,-inf
Spectral + pH,p4.BD.g_cm3,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09843314914454948,10.769803888568132,13.66396999467091,-inf
Spectral + pH,p4.CEC.cmolc_kg,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.0935810740244255,10.76866976844405,13.700689205310141,-inf
Spectral + pH,p4.CF.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09252174885974118,10.769455998796426,13.708692815152187,-inf
Spectral + pH,p4.WR_10kPa.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09169257830854094,10.76595503771564,13.714954259464259,-inf
Spectral + pH,p4.WR_1500kPa.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09000016653360687,10.774511171303674,13.727725567614254,-inf
Spectral + pH,p4.WR_33kPa.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.08921777054229818,10.792303683812111,13.733625683988553,-inf
Spectral + EC,p1.pH.index,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09515465386902278,10.719016240546837,13.688791564615235,-inf
Spectral + EC,p1.EC.ds_m,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09245867165676458,10.776177487237087,13.709169240329668,-inf
Spectral + EC,p1.Clay.wt_pct,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.09578754831141956,10.762952579953744,13.684003411808726,-inf
