Config            , Feature             , Best_Params                                                   , R2                  , MAE                   , RMSE                  , MPE
Spectral Only     , p1.pH.index         , "{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}" , 0.5133347756202433  ,   0.7824003397646283  ,   0.952514118429292   , -3.472050594035679
Spectral Only     , p1.EC.ds_m          , "{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}", 0.16088000885943143 ,   0.1671538616870657  ,   0.3063563874274927  , -93.32992450591287
Spectral Only     , p1.Clay.wt_pct      , "{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}" , 0.2875162534693029  ,  14.585557504619063   ,  18.633512562546137   , -inf
Spectral Only     , p1.Sand.wt_pct      , "{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}" , 0.25696068345085976 ,   7.760319193784518   ,  12.576490871569549   , 
Spectral Only     , p1.Silt.wt_pct      , "{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}", 0.2426898955578145  ,  14.507943190243147   ,  18.08994571589377    , -151.91124828734874
Spectral Only     , p2.N.wt_pct         , "{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}", 0.6817245761238275  ,   0.1252524921054962  ,   0.21333408815915003 , -inf
Spectral Only     , p2.OC.wt_pct        , "{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}" , 0.750933398348554   ,   1.9683417289313552  ,   4.00216868549558    , 
Spectral Only     , p3.K.mg_kg          , "{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}" , 0.09466372860459382 , 226.4913481215715     , 386.13869172539916    , 
Spectral Only     , p3.P.mg_kg          , "{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}", 0.0759193123258306  ,  21.23189326696988    ,  31.694077418565286   , -inf
Spectral Only     , p3.S.wt_pct         , "{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}"  , -0.05566724834839776,   0.013098966984071994,   0.021686870033862805, -inf
Spectral Only     , p4.BD.g_cm3         , "{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}", 0.2648368438753287  ,   0.19271586891628628 ,   0.25265936431316366 , -6.47573247487623
Spectral Only     , p4.CEC.cmolc_kg     , "{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}" , 0.23958564495601298 ,   8.106065124625111   ,  12.313538821882169   , -90.59285464671954
Spectral Only     , p4.CF.wt_pct        , "{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}", 0.052035685391767506,   8.954973435463806   ,  11.646936374097605   , -inf
Spectral Only     , p4.WR_10kPa.wt_pct  , "{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50}" , 0.12730688419457492 ,   8.78388498401676    ,  11.306419208537797   , -12.806191023596996
Spectral Only     , p4.WR_1500kPa.wt_pct, "{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50}" , 0.10724009839783188 ,   8.140528520113618   ,   9.851246257929565   , -33.67127878305736
Spectral Only     , p4.WR_33kPa.wt_pct  , "{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 50}" , 0.09778638593433375 ,   9.830677279521844   ,  12.86040453132126    , -30.28462688872687
Spectral + pH     , p1.pH.index         , "{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}", 0.9999406066264536  ,   0.005484601262694063,   0.010522653302008843, -0.0029766751975894403
Spectral + pH     , p1.EC.ds_m          , "{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}", 0.2016604480449684  ,   0.16146767929979094 ,   0.2859023178521674  , -85.99828736165198
Spectral + pH     , p1.Clay.wt_pct      , "{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}" , 0.393426943695962   ,  14.102449058637333   ,  17.650273438897955   , -inf
Spectral + pH     , p1.Sand.wt_pct      , "{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}", 0.36976965985553745 ,   7.08039968350674    ,  11.640929774087336   , 
Spectral + pH     , p1.Silt.wt_pct      , "{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}" , 0.2724442034205553  ,  13.698030079952582   ,  18.875794743589427   , -101.84370043495599
Spectral + pH     , p2.N.wt_pct         , "{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}", 0.6756285523167662  ,   0.12312306824528202 ,   0.21267933084653345 , -inf
