Feature,Config,MAE,R2,Best_Params
p1.Clay.wt_pct,Spectral + pH,14.102449058637331,0.393426943695962,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}"
p1.EC.ds_m,Spectral + pH + EC,0.0051812632067026,0.9644327478512752,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}"
p1.Sand.wt_pct,Spectral + pH + EC,3.3851570057641016,0.333699030235677,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 50}"
p1.Silt.wt_pct,Spectral + pH,13.698030079952582,0.2724442034205553,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}"
p1.pH.index,Spectral + pH,0.005484601262694,0.9999406066264536,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}"
p2.N.wt_pct,Spectral + pH + EC,0.0950163004138221,0.8343798259446882,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}"
p2.OC.wt_pct,Spectral + pH + EC,1.4935922711929248,0.8644007445001777,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}"
p3.K.mg_kg,Spectral + pH + EC,204.3662875542572,0.2096763299471611,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}"
p3.P.mg_kg,Spectral + pH + EC,18.897889925226327,0.1799753068171832,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}"
p3.S.wt_pct,Spectral Only,0.0130989669840719,-0.0556672483483977,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}"
p4.BD.g_cm3,Spectral + pH,0.1701199644444137,0.306749308146484,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50}"
p4.CEC.cmolc_kg,Spectral + pH,6.612386594698249,0.4765423447827938,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}"
p4.CF.wt_pct,Spectral + pH,8.797398638144742,0.0817455752370021,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}"
p4.WR_10kPa.wt_pct,Spectral Only,8.78388498401676,0.1273068841945749,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50}"
p4.WR_1500kPa.wt_pct,Spectral + pH,7.769788110591626,0.189931290736149,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}"
p4.WR_33kPa.wt_pct,Spectral + pH,9.808604599573362,-0.0537093101852805,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50}"
