Feature,Config,MAE,R2,Best_Components
p1.Clay.wt_pct,Spectral Only,14.712011800936867,0.3286749346744135,18
p1.EC.ds_m,Spectral + pH + EC,9.119632383050227e-17,1.0,20
p1.Sand.wt_pct,Spectral + pH + EC,3.3886526559947825,0.3569106444189893,18
p1.Silt.wt_pct,Spectral + pH,13.87387879769067,0.2551907815707096,19
p1.pH.index,Spectral + pH + EC,1.077925627545152e-14,1.0,20
p2.N.wt_pct,Spectral + pH + EC,0.1542156026970782,0.6072636956742128,20
p2.OC.wt_pct,Spectral + pH + EC,3.291174790342631,0.5556636550039369,20
p3.K.mg_kg,Spectral + pH + EC,211.34904374996185,0.2056713765656557,20
p3.P.mg_kg,Spectral + pH + EC,18.250810990434115,0.2170684182383603,20
p3.S.wt_pct,Spectral Only,0.0124195495558371,0.0686646262160138,3
p4.BD.g_cm3,Spectral + pH,0.1684948756919858,0.3118476348204124,16
p4.CEC.cmolc_kg,Spectral + pH,7.665144940232173,0.2920683265442848,19
p4.CF.wt_pct,Spectral + pH,8.66067371298449,0.0980674479664521,19
p4.WR_10kPa.wt_pct,Spectral Only,9.21513377758266,0.1401162142780326,18
p4.WR_1500kPa.wt_pct,Spectral + pH,7.997292941443952,0.1934194868444535,19
p4.WR_33kPa.wt_pct,Spectral + pH,9.58216149471261,0.1343643988033405,19
