Feature,Config,MAE,R2,Best_Params
p1.Clay.wt_pct,Spectral + pH,13.523659278932689,0.4374538868147358,"{'n_estimators': 299, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 1.0}"
p1.EC.ds_m,Spectral + pH + EC,0.0003776939598153,0.9997555921773388,"{'n_estimators': 224, 'max_depth': 9, 'min_samples_split': 9, 'min_samples_leaf': 4, 'max_features': 1.0}"
p1.Sand.wt_pct,Spectral + pH + EC,3.2575936824693885,0.3838064969518124,"{'n_estimators': 262, 'max_depth': 16, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 1.0}"
p1.Silt.wt_pct,Spectral + pH,13.224993971079904,0.3139241045125657,"{'n_estimators': 109, 'max_depth': 17, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 1.0}"
p1.pH.index,Spectral + pH,4.3553132086853134e-05,0.9999996894981886,"{'n_estimators': 50, 'max_depth': 11, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 1.0}"
p2.N.wt_pct,Spectral + pH + EC,0.0947698751037774,0.8349756875119646,"{'n_estimators': 117, 'max_depth': 17, 'min_samples_split': 17, 'min_samples_leaf': 1, 'max_features': 1.0}"
p2.OC.wt_pct,Spectral + pH + EC,1.4804018185383228,0.8658320688441358,"{'n_estimators': 300, 'max_depth': 18, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 1.0}"
p3.K.mg_kg,Spectral + pH + EC,202.828150333592,0.2361443068849741,"{'n_estimators': 76, 'max_depth': 13, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 1.0}"
p3.P.mg_kg,Spectral + pH + EC,19.14777474398128,0.1766061754555322,"{'n_estimators': 243, 'max_depth': 20, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 1.0}"
p3.S.wt_pct,Spectral Only,0.0120745132398214,0.0726941144220209,"{'n_estimators': 152, 'max_depth': 10, 'min_samples_split': 18, 'min_samples_leaf': 20, 'max_features': 1.0}"
p4.BD.g_cm3,Spectral + pH,0.1600637764866079,0.3686291586627415,"{'n_estimators': 271, 'max_depth': 15, 'min_samples_split': 17, 'min_samples_leaf': 4, 'max_features': 1.0}"
p4.CEC.cmolc_kg,Spectral + pH,6.618999805864589,0.4784119718747474,"{'n_estimators': 129, 'max_depth': 15, 'min_samples_split': 14, 'min_samples_leaf': 3, 'max_features': 'log2'}"
p4.CF.wt_pct,Spectral + pH,8.760507084624601,0.0865082231729247,"{'n_estimators': 94, 'max_depth': 14, 'min_samples_split': 11, 'min_samples_leaf': 19, 'max_features': 1.0}"
p4.WR_10kPa.wt_pct,Spectral Only,8.303326997163657,0.1795789250601093,"{'n_estimators': 131, 'max_depth': 14, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'log2'}"
p4.WR_1500kPa.wt_pct,Spectral + pH,7.558326043762336,0.2276224212685279,"{'n_estimators': 97, 'max_depth': 8, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 1.0}"
p4.WR_33kPa.wt_pct,Spectral + pH,9.18346452661815,0.1114752859898894,"{'n_estimators': 229, 'max_depth': 12, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'sqrt'}"
