Feature,mae,mpe,rmse,r2_score,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,Best_Params
p1.pH.index,0.0087671689715559,-0.0036544458184768,0.0241185625453205,0.9996879743391108,142,0.2868449403000416,8,0.9874314428376354,0.9692734778749488,"{'n_estimators': 142, 'learning_rate': 0.2868449403000416, 'max_depth': 8, 'subsample': 0.9874314428376354, 'colsample_bytree': 0.9692734778749488}"
p1.EC.ds_m,0.0125523689736396,-10.140545460337275,0.0562188026958593,0.9717425236548816,202,0.0452661724713126,10,0.8149191866686292,0.9394066929685356,"{'n_estimators': 202, 'learning_rate': 0.0452661724713126, 'max_depth': 10, 'subsample': 0.8149191866686292, 'colsample_bytree': 0.9394066929685356}"
p1.Clay.wt_pct,13.148741837218418,-inf,16.96926920516447,0.4091030076422264,350,0.0325294441884118,10,0.5994248009873926,0.9902493764207836,"{'n_estimators': 350, 'learning_rate': 0.0325294441884118, 'max_depth': 10, 'subsample': 0.5994248009873926, 'colsample_bytree': 0.9902493764207836}"
p1.Sand.wt_pct,6.857418096774033,,11.48149034426035,0.3807167063568917,433,0.014078382614391,10,0.7383117090547484,0.8376555467351674,"{'n_estimators': 433, 'learning_rate': 0.014078382614391, 'max_depth': 10, 'subsample': 0.7383117090547484, 'colsample_bytree': 0.8376555467351674}"
p1.Silt.wt_pct,13.259853545956972,-126.33479870358654,16.748409559124376,0.3508480455124033,242,0.0164889830613528,8,0.9107133376924312,0.6827714906076529,"{'n_estimators': 242, 'learning_rate': 0.0164889830613528, 'max_depth': 8, 'subsample': 0.9107133376924312, 'colsample_bytree': 0.6827714906076529}"
p2.N.wt_pct,0.1376004791443437,-inf,0.2457517398997893,0.791833635986999,364,0.0662954020478514,8,0.6654722457455311,0.9696256150040704,"{'n_estimators': 364, 'learning_rate': 0.0662954020478514, 'max_depth': 8, 'subsample': 0.6654722457455311, 'colsample_bytree': 0.9696256150040704}"
p2.OC.wt_pct,2.1466028101234174,-inf,4.382557334731312,0.878436926475802,321,0.0714193176785442,9,0.7488019183748595,0.8860467570132974,"{'n_estimators': 321, 'learning_rate': 0.0714193176785442, 'max_depth': 9, 'subsample': 0.7488019183748595, 'colsample_bytree': 0.8860467570132974}"
p3.K.mg_kg,201.81572530565057,-inf,445.3052707545144,0.1591678529761141,229,0.0261855238080692,8,0.6520814303680985,0.7788419407991843,"{'n_estimators': 229, 'learning_rate': 0.0261855238080692, 'max_depth': 8, 'subsample': 0.6520814303680985, 'colsample_bytree': 0.7788419407991843}"
p3.P.mg_kg,20.05882025456467,-inf,30.551706166173226,0.1413333368196971,460,0.0342301397479495,7,0.7290435172239089,0.7627872283486236,"{'n_estimators': 460, 'learning_rate': 0.0342301397479495, 'max_depth': 7, 'subsample': 0.7290435172239089, 'colsample_bytree': 0.7627872283486236}"
p3.S.wt_pct,0.0809044144984795,-inf,0.2492225623774458,0.1709453839853438,136,0.017730594431011,9,0.5830932020687405,0.7526354859819144,"{'n_estimators': 136, 'learning_rate': 0.017730594431011, 'max_depth': 9, 'subsample': 0.5830932020687405, 'colsample_bytree': 0.7526354859819144}"
p4.BD.g_cm3,0.2368487147080263,-35.10993815366498,0.2928841794586336,0.4974698743147843,210,0.136160794851229,7,0.8145717982987383,0.731602499444429,"{'n_estimators': 210, 'learning_rate': 0.136160794851229, 'max_depth': 7, 'subsample': 0.8145717982987383, 'colsample_bytree': 0.731602499444429}"
p4.CEC.cmolc_kg,6.797713768570834,-inf,10.47105017899962,0.5163664896828954,409,0.0220479326741376,8,0.5326793857337233,0.9221487572487954,"{'n_estimators': 409, 'learning_rate': 0.0220479326741376, 'max_depth': 8, 'subsample': 0.5326793857337233, 'colsample_bytree': 0.9221487572487954}"
p4.CF.wt_pct,8.460090214332082,-inf,11.116852468968544,0.136360957143471,347,0.0136013590822832,8,0.7054034303737018,0.6502280632354376,"{'n_estimators': 347, 'learning_rate': 0.0136013590822832, 'max_depth': 8, 'subsample': 0.7054034303737018, 'colsample_bytree': 0.6502280632354376}"
p4.WR_10kPa.wt_pct,8.920090483593684,-10.441302857994136,11.617838966374451,0.1839921537231758,305,0.0218647039218401,7,0.7539419652499038,0.5790067806108548,"{'n_estimators': 305, 'learning_rate': 0.0218647039218401, 'max_depth': 7, 'subsample': 0.7539419652499038, 'colsample_bytree': 0.5790067806108548}"
p4.WR_1500kPa.wt_pct,7.323994817733766,-29.365405840439912,9.1318338209822,0.2243331568448778,487,0.0100915522931949,6,0.9404363484659573,0.7832667947898572,"{'n_estimators': 487, 'learning_rate': 0.0100915522931949, 'max_depth': 6, 'subsample': 0.9404363484659573, 'colsample_bytree': 0.7832667947898572}"
p4.WR_33kPa.wt_pct,8.829383768648714,-20.599905857617497,11.22467155140686,0.1785220461927391,321,0.0287291408913914,5,0.9224651746404816,0.683839712675196,"{'n_estimators': 321, 'learning_rate': 0.0287291408913914, 'max_depth': 5, 'subsample': 0.9224651746404816, 'colsample_bytree': 0.683839712675196}"
