Config            , Feature             , Best_Components, R2                  , MAE                   , RMSE                  , MPE
Spectral Only     , p1.pH.index         ,              18, 0.5315973413275702  , 0.7488697390168766    , 0.9344712413639468    , -2.880547978056554
Spectral Only     , p1.EC.ds_m          ,              16, 0.13160230453948996 , 0.17181051066347167   , 0.3116550990601015    , -86.31090301631242
Spectral Only     , p1.Clay.wt_pct      ,              18, 0.32867493467441355 , 14.712011800936867    , 18.08729746814721     , inf
Spectral Only     , p1.Sand.wt_pct      ,              18, 0.13253062349634825 , 9.043481029981693     , 13.58878598759105     , -inf
Spectral Only     , p1.Silt.wt_pct      ,              17, 0.2548110761322988  , 14.260438366560633    , 17.944591797264575    , -150.20031972792518
Spectral Only     , p2.N.wt_pct         ,              18, 0.46741353468289315 , 0.17727583473192987   , 0.27596484815480915   , -inf
Spectral Only     , p2.OC.wt_pct        ,              18, 0.4130657415574054  , 3.8583481781183124    , 6.1437335403735105    , inf
Spectral Only     , p3.K.mg_kg          ,              18, 0.11920743501404585 , 229.90186265534203    , 380.86860975278955    , 
Spectral Only     , p3.P.mg_kg          ,              18, 0.16564228742693377 , 19.6710463027058      , 30.11614016990031     , 
Spectral Only     , p3.S.wt_pct         ,               3, 0.06866462621601388 , 0.012419549555837165  , 0.020369782983169125  , -inf
Spectral Only     , p4.BD.g_cm3         ,              14, 0.2537183468442613  , 0.2023496020090258    , 0.25456278567289436   , -5.028484511321654
Spectral Only     , p4.CEC.cmolc_kg     ,              17, 0.2188287424674713  , 8.18019909878352      , 12.48046763144771     , -77.17052373633216
Spectral Only     , p4.CF.wt_pct        ,              18, 0.09549621971703548 , 8.664892578587073     , 11.376820386442036    , -inf
Spectral Only     , p4.WR_10kPa.wt_pct  ,              18, 0.14011621427803267 , 9.215133777582661     , 11.223135043647929    , -9.63412121352327
Spectral Only     , p4.WR_1500kPa.wt_pct,              18, 0.14840534905943326 , 8.054736717970918     , 9.621444967933936     , -32.87934167491684
Spectral Only     , p4.WR_33kPa.wt_pct  ,              18, 0.23542825607466722 , 9.672001462937924     , 11.838837613728316    , -23.267833028522862
Spectral + pH     , p1.pH.index         ,              19, 1.0                 , 5.239431026537699e-14 , 5.259021990489971e-14 , 9.546131870154573e-13
Spectral + pH     , p1.EC.ds_m          ,              19, 0.1235463223126202  , 0.1719987384807359    , 0.2995631144486341    , -84.38079184027644
Spectral + pH     , p1.Clay.wt_pct      ,              19, 0.3329778006986862  , 14.993868206107937    , 18.508875078723804    , -inf
Spectral + pH     , p1.Sand.wt_pct      ,              19, 0.15025935281029934 , 9.040129320785075     , 13.517027969088284    , -inf
Spectral + pH     , p1.Silt.wt_pct      ,              19, 0.2551907815707096  , 13.87387879769067     , 19.098295784364232    , -109.9774908444625
Spectral + pH     , p2.N.wt_pct         ,              19, 0.46477141175318293 , 0.17421004151785122   , 0.27319555371764      , -inf
Spectral + pH     , p2.OC.wt_pct        ,              19, 0.48214101792953934 , 3.6433431256051865    , 5.778715437822526     , inf
Spectral + pH     , p3.K.mg_kg          ,              18, 0.13439215487801226 , 224.09322888089258    , 434.1604840132348     , 
Spectral + pH     , p3.P.mg_kg          ,              19, 0.16559104728460794 , 19.675999120109733    , 30.11706491212643     , 
Spectral + pH     , p4.BD.g_cm3         ,              16, 0.31184763482041244 , 0.16849487569198587   , 0.21780457545892812   , -3.3009914796490856
Spectral + pH     , p4.CEC.cmolc_kg     ,              19, 0.29206832654428483 , 7.665144940232173     , 11.897450983862939    , -66.73768177110558
Spectral + pH     , p4.CF.wt_pct        ,              19, 0.09806744796645217 , 8.66067371298449      , 11.360638463757828    , -inf
Spectral + pH     , p4.WR_10kPa.wt_pct  ,              18, 0.10530342218084232 , 9.756075877450527     , 12.052390607464636    , -13.837854814154296
Spectral + pH     , p4.WR_1500kPa.wt_pct,              19, 0.19341948684445354 , 7.997292941443952     , 9.603969860901445     , -56.916399231049695
Spectral + pH     , p4.WR_33kPa.wt_pct  ,              19, 0.1343643988033405  , 9.58216149471261      , 11.904814893249462    , -25.873930057385575
Spectral + EC     , p1.pH.index         ,              19, 0.6226041669329234  , 0.6646627037714004    , 0.8387543791588307    , -1.7856909052130054
Spectral + EC     , p1.EC.ds_m          ,              19, 1.0                 , 1.6733143840976066e-15, 1.7135584006502615e-15, -1.330417123465958e-12
Spectral + EC     , p1.Sand.wt_pct      ,              18, 0.30031060471466464 , 3.541292771540128     , 5.237719291069402     , -13.46752475748433
Spectral + EC     , p2.N.wt_pct         ,              19, 0.5979467184272765  , 0.1567439124085411    , 0.24208889787623514   , -inf
Spectral + EC     , p2.OC.wt_pct        ,              19, 0.5112613148353599  , 3.4486997053563004    , 5.600841366470084     , -42.87494576742956
Spectral + EC     , p3.K.mg_kg          ,              19, 0.16265596373501567 , 222.02065875701308    , 370.8334905230706     , -inf
Spectral + EC     , p3.P.mg_kg          ,              19, 0.2174265385062062  , 18.252106283862236    , 31.443521147112847    , 
Spectral + EC     , p4.CF.wt_pct        ,              16, 0.037730754228277985, 11.155226576138645    , 14.116474081937056    , -inf
Spectral + pH + EC, p1.pH.index         ,              20, 1.0                 , 1.077925627545152e-14 , 1.1963022227100045e-14, 1.7448602824751154e-13
Spectral + pH + EC, p1.EC.ds_m          ,              20, 1.0                 , 9.119632383050227e-17 , 1.436124930500326e-16 , -5.12559003335366e-14
Spectral + pH + EC, p1.Sand.wt_pct      ,              18, 0.35691064441898934 , 3.3886526559947825    , 5.062549737538317     , -12.782598902382764
Spectral + pH + EC, p2.N.wt_pct         ,              20, 0.6072636956742128  , 0.1542156026970782    , 0.24679159875498877   , -inf
Spectral + pH + EC, p2.OC.wt_pct        ,              20, 0.5556636550039369  , 3.291174790342631     , 5.314477889396501     , -29.31682183487362
Spectral + pH + EC, p3.K.mg_kg          ,              20, 0.2056713765656557  , 211.34904374996185    , 364.5251525800144     , -79.99272260588626
Spectral + pH + EC, p3.P.mg_kg          ,              20, 0.21706841823836032 , 18.250810990434115    , 31.450714896200243    , 
Spectral + pH + EC, p4.CF.wt_pct        ,              17, 0.04350897105387752 , 11.115014780296146    , 14.074027091644865    , -inf
