feature,mae,mpe,rmse,r2_score,n_estimators,learning_rate,max_depth,subsample,colsample_bytree
p1.pH.index,0.0066462752166204005,-0.010354423535389654,0.024153627040227017,0.9996870664097585,234,0.07721653974314614,10,0.8758796408366354,0.9962350140055665
p1.EC.ds_m,0.010003389705205527,-2.9743166423640925,0.0556678311367989,0.9722936835107476,394,0.017202023061141145,9,0.860967222519918,0.8704074266263283
p1.Clay.wt_pct,13.166853513826002,-inf,16.888658961803305,0.4147036277074222,375,0.01385819043357772,10,0.6028185773424758,0.9673661093406521
p1.Sand.wt_pct,6.878184255653602,,11.491013604947765,0.37968895787953716,385,0.02577844270903756,8,0.9131957593197,0.9448737375605792
p1.Silt.wt_pct,13.07753002976333,-127.26067678221715,16.57907402199251,0.3639082463951857,361,0.01783332465045144,7,0.580890979306524,0.6935146503827402
p2.N.wt_pct,0.10700146519768874,-inf,0.18835383272904152,0.7518972847791515,233,0.02060257367320251,8,0.5951370362904883,0.7466694651245771
p2.OC.wt_pct,1.6702965228433266,-inf,3.383692810060868,0.8219645145335124,340,0.01527736783630441,9,0.571042532819472,0.9506775461921005
p3.K.mg_kg,198.19212054084184,-inf,358.2412930254829,0.22075402773200647,389,0.012962268594480738,9,0.5911136067306787,0.9491696022140692
p3.P.mg_kg,20.022966989515997,-inf,30.471304107414856,0.14584684737204923,371,0.029243263679774905,7,0.8586619958725263,0.7861750318219141
p3.S.wt_pct,0.012129144847393037,-inf,0.021107608919572512,-2.618608761428831e-05,438,0.0770465281904806,4,0.5851754163515419,0.7960623246058051
p4.BD.g_cm3,0.17721481297824515,-5.624291135767178,0.24267291781194691,0.32180347645236995,258,0.13841878080838135,6,0.8739900551289274,0.8555691607172485
p4.CEC.cmolc_kg,6.652101124175394,-60.09613593212995,10.473050415273093,0.44991357545316335,460,0.024193007013654733,8,0.5793788310542195,0.5416641314035182
p4.CF.wt_pct,8.431858347584582,-inf,11.095180789837347,0.13972490658575976,329,0.023130286259513636,7,0.6751496009037072,0.7432050373057063
p4.WR_10kPa.wt_pct,8.477932341292098,-12.582597525686703,11.045869656625559,0.1670648095914521,70,0.02553805394290617,7,0.5232270982658632,0.8815845524193231
p4.WR_1500kPa.wt_pct,7.3694696077366455,-28.50870255450113,9.120069359955885,0.2348464332631749,343,0.011706489154122514,9,0.5010332060102836,0.8734271605889873
p4.WR_33kPa.wt_pct,9.648863616197005,-27.22649031317085,12.434914663209558,0.15649874133646458,61,0.02874978005421077,9,0.5595619069183211,0.785079058665098
