feature,mae,mpe,rmse,r2_score,n_estimators,learning_rate,max_depth,subsample,colsample_bytree
p1.pH.index,0.008767168971555975,-0.0036544458184768177,0.024118562545320556,0.9996879743391109,142,0.2868449403000416,8,0.9874314428376354,0.9692734778749489
p1.EC.ds_m,0.012552368973639618,-10.140545460337275,0.056218802695859375,0.9717425236548815,202,0.04526617247131264,10,0.8149191866686292,0.9394066929685356
p1.Clay.wt_pct,13.148741837218418,-inf,16.96926920516447,0.4091030076422264,350,0.03252944418841187,10,0.5994248009873926,0.9902493764207835
p1.Sand.wt_pct,6.857418096774033,,11.48149034426035,0.3807167063568917,433,0.014078382614391005,10,0.7383117090547484,0.8376555467351674
p1.Silt.wt_pct,13.259853545956972,-126.33479870358654,16.748409559124376,0.35084804551240334,242,0.016488983061352894,8,0.9107133376924312,0.6827714906076529
p2.N.wt_pct,0.1376004791443437,-inf,0.24575173989978938,0.791833635986999,364,0.06629540204785143,8,0.6654722457455311,0.9696256150040703
p2.OC.wt_pct,2.1466028101234174,-inf,4.382557334731312,0.878436926475802,321,0.0714193176785442,9,0.7488019183748595,0.8860467570132974
p3.K.mg_kg,201.81572530565057,-inf,445.30527075451437,0.15916785297611413,229,0.026185523808069204,8,0.6520814303680985,0.7788419407991843
p3.P.mg_kg,20.05882025456467,-inf,30.551706166173226,0.14133333681969718,460,0.03423013974794956,7,0.7290435172239089,0.7627872283486236
p3.S.wt_pct,0.08090441449847954,-inf,0.24922256237744583,0.17094538398534387,136,0.017730594431011087,9,0.5830932020687405,0.7526354859819144
p4.BD.g_cm3,0.23684871470802638,-35.10993815366498,0.2928841794586336,0.4974698743147843,210,0.13616079485122903,7,0.8145717982987383,0.731602499444429
p4.CEC.cmolc_kg,6.797713768570834,-inf,10.471050178999619,0.5163664896828954,409,0.02204793267413762,8,0.5326793857337233,0.9221487572487954
p4.CF.wt_pct,8.460090214332082,-inf,11.116852468968544,0.13636095714347107,347,0.013601359082283233,8,0.7054034303737018,0.6502280632354376
p4.WR_10kPa.wt_pct,8.920090483593684,-10.441302857994136,11.617838966374451,0.1839921537231758,305,0.02186470392184012,7,0.7539419652499038,0.5790067806108548
p4.WR_1500kPa.wt_pct,7.323994817733766,-29.365405840439912,9.1318338209822,0.22433315684487787,487,0.010091552293194922,6,0.9404363484659573,0.7832667947898572
p4.WR_33kPa.wt_pct,8.829383768648714,-20.599905857617497,11.224671551406859,0.17852204619273915,321,0.028729140891391496,5,0.9224651746404815,0.683839712675196
